Date,Open,High,Low,Close,AdjClose,Volume
06-03-2019,1055.0,1055.150024,1045.275024,1052.125,1038.808105,4229022.0
07-03-2019,1054.800049,1065.0,1047.5,1063.25,1049.792358,5102426.0
08-03-2019,1057.525024,1065.0,1054.724976,1064.099976,1050.63147,3526730.0
11-03-2019,1066.0,1071.849976,1061.099976,1064.224976,1050.754883,4612054.0
12-03-2019,1073.5,1087.5,1068.5,1085.5,1071.760742,7548646.0
13-03-2019,1087.5,1117.0,1086.050049,1113.275024,1099.184204,28583174.0
14-03-2019,1122.425049,1123.75,1105.300049,1112.375,1098.295654,7689932.0
15-03-2019,1115.5,1129.949951,1114.025024,1126.5,1112.241699,6381544.0
18-03-2019,1130.949951,1145.824951,1123.5,1130.724976,1116.41333,7179360.0
19-03-2019,1134.75,1137.949951,1125.5,1133.875,1119.52356,5978996.0
20-03-2019,1134.5,1150.0,1130.525024,1149.5,1134.950684,5855996.0
22-03-2019,1150.0,1153.5,1135.400024,1138.074951,1123.670288,15201940.0
25-03-2019,1130.0,1143.925049,1126.5,1140.650024,1126.212646,4599630.0
26-03-2019,1137.949951,1157.5,1136.300049,1155.675049,1141.047607,5893424.0
27-03-2019,1159.275024,1164.025024,1139.525024,1149.724976,1135.172852,6942650.0
28-03-2019,1149.400024,1162.5,1143.925049,1151.400024,1136.82666,9777164.0
01-04-2019,1162.625,1166.0,1152.300049,1155.900024,1141.269653,4823538.0
02-04-2019,1160.0,1160.0,1142.724976,1147.425049,1132.901978,5455248.0
03-04-2019,1146.050049,1158.0,1144.125,1146.375,1131.865112,3829726.0
04-04-2019,1146.375,1156.5,1140.0,1141.974976,1127.520996,4605776.0
05-04-2019,1143.900024,1156.875,1141.0,1152.800049,1138.208984,4175590.0
08-04-2019,1159.5,1161.474976,1140.050049,1144.699951,1130.211548,3199066.0
09-04-2019,1148.300049,1151.5,1133.5,1143.625,1129.150024,5388800.0
10-04-2019,1125.0,1142.0,1115.5,1118.675049,1104.515869,54064350.0
11-04-2019,1122.449951,1131.5,1118.474976,1128.75,1114.463257,4396650.0
12-04-2019,1126.050049,1136.099976,1126.050049,1132.625,1118.289307,4585222.0
15-04-2019,1135.0,1146.449951,1132.175049,1144.400024,1129.915283,5109890.0
16-04-2019,1145.474976,1154.949951,1140.150024,1152.525024,1137.937378,4136888.0
18-04-2019,1156.5,1157.525024,1144.0,1146.824951,1132.30957,5307428.0
22-04-2019,1162.5,1162.5,1130.5,1134.349976,1119.992432,10490210.0
23-04-2019,1138.775024,1145.0,1120.800049,1122.650024,1108.440552,7641200.0
24-04-2019,1125.0,1141.949951,1123.525024,1139.875,1125.44751,6177064.0
25-04-2019,1143.449951,1149.400024,1128.974976,1131.724976,1117.400757,9043318.0
26-04-2019,1132.949951,1142.5,1128.449951,1140.474976,1126.039917,5853784.0
30-04-2019,1142.5,1160.0,1139.199951,1158.724976,1144.058838,6268418.0
02-05-2019,1161.75,1179.824951,1158.75,1177.900024,1162.991089,8584650.0
03-05-2019,1182.099976,1189.0,1178.25,1183.974976,1168.989258,6175760.0
06-05-2019,1174.0,1175.949951,1158.525024,1164.224976,1149.489258,6874046.0
